,Title,Type,Organization,Amount,Date
0,100 Healthy Living Project 2012,Partnership,"100 Black Men of America, Inc.",150000,2012
0,100 Healthy Living Project SOAR 2014,Partnership,"100 Black Men of America, Inc.",200000,2014
0,100 Swimming and Nutrition Education Program*,Partnership,"One Hundred Black Men, Inc. of New York",25000,2013
0,123Entalik (321Move)*,Partnership,Mercy Corps,150000,2014
0,2010 Hope for a Cure Gala,Partnership,Juvenile Diabetes Research Foundation,10000,2010
0,2010 Legendary Party,Partnership,Shepherd Center Foundation,10000,2010
0,2010 Obesity Summit,Partnership,National Hispanic Caucus of State Legislators,20000,2010
0,2010 State Competitions,Partnership,"Special Olympics Georgia, Inc.",35000,2010
0,"2011 ""A Family Affair"" dinner & concert",Partnership,Emory University,25000,2011
0,2011 Big-To-Do benefiting the Childrens Program at Visiting Nurse | Hospice Atlanta,Partnership,"Visiting Nurse Health System, Inc.",5000,2011
0,2011 Hope & WIll Ball,Partnership,Children's Healthcare of Atlanta,10000,2010
0,2011 Hope for a Cure Gala,Partnership,Juvenile Diabetes Research Foundation,5000,2011
0,2011 Legendary Party,Partnership,Shepherd Center Foundation,10000,2011
0,2011 State Competitions,Partnership,"Special Olympics Georgia, Inc.",35000,2011
0,2012 Hope & Will Ball,Partnership,Children's Healthcare of Atlanta,10000,2011
0,2012 Hope for a Cure Gala,Partnership,Juvenile Diabetes Research Foundation,5000,2012
0,2012 State Competitions and Healthy Athletes Program,Partnership,"Special Olympics Georgia, Inc.",35000,2012
0,2012 Winship Gala,Partnership,Winship Cancer Institute of Emory University,35000,2011
0,2013 Health Fair,Partnership,National Organization for Mexican American Rights,3000,2013
0,2013 NAHN Muevete USA*,Partnership,National Association of Hispanic Nurses,150000,2012
0,2013 Soccer for Success*,Partnership,Detroit Police Athletic League Inc.,100000,2013
0,2013 State Competitions and Healthy Athletes Program,Partnership,"Special Olympics Georgia, Inc.",35000,2013
0,2013 TriPATHlon,Partnership,"PATH Foundation, Inc.",5000,2013
0,"2013 Winship ""Win the Fight"" 5K",Partnership,Winship Cancer Institute of Emory University,5000,2013
0,2014 Benefits of Laughter,Partnership,George West Mental Health Foundation Inc.,10000,2014
0,2014 CityParks Track & Field,Partnership,City Parks Foundation,50000,2013
0,2014 Muevete USA*,Partnership,National Association of Hispanic Nurses,150000,2013
0,2014 SSUSA Greater NY Metro Program Expansion*,Partnership,"Street Soccer USA, Inc.",40000,2014
0,2014 State Competitions and Healthy Athletes Program,Partnership,"Special Olympics Georgia, Inc.",35000,2014
0,2014 Youth Sports & Fitness Program*,Partnership,Good Sports,200000,2013
0,"2015 National Convention, ERG Summit, & Recruitment Expo",Partnership,National Association of Asian American Professionals,20000,2015
0,2015 State Competitions and Healthy Athletes Program,Partnership,"Special Olympics Georgia, Inc.",25000,2015
0,2015 TriPATHlon,Partnership,"PATH Foundation, Inc.",5000,2015
0,20th Annual Dining Out for Life,Partnership,"Project Open Hand/Atlanta, Inc.",5000,2012
0,32nd Annual Children's Christmas Parade,Partnership,Children's Healthcare of Atlanta,10000,2012
0,33rd Annual Children's Christmas Parade,Partnership,Children's Healthcare of Atlanta Foundation,7500,2013
0,34th Annual Children's Christmas Parade,Partnership,Children's Healthcare of Atlanta Foundation,7500,2014
